Name,Applicants total,Admissions total,Enrolled total,Percent admitted - total,Admissions yield - total,Total price for in-state students living on campus 2013-14,Total price for students living on campus,State abbreviation,Sector of institution,Control of institution,Historically Black College or University,Historically Black Boolean,Degree of urbanization (Urban-centric locale),Carnegie Classification 2010: Basic,Total  enrollment,Full-time enrollment,Part-time enrollment,Undergraduate enrollment,Graduate enrollment,Full-time undergraduate enrollment,Part-time undergraduate enrollment,Percent of freshmen receiving any financial aid,"Percent of freshmen receiving federal, state, local or institutional grant aid",Percent of freshmen  receiving federal grant aid,Percent of freshmen receiving Pell grants,Percent of freshmen receiving other federal grant aid,Percent of freshmen receiving state/local grant aid,Percent of freshmen receiving institutional grant aid,Percent of freshmen receiving student loan aid,Percent of freshmen receiving federal student loans,Percent of freshmen receiving other loan aid
Woodbury University,879,490,118,56,24,48512,48512,California,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Large,Master's Colleges and Universities (medium programs),1607,1393,214,1357,250,1175,182,79,77,49,49,3,31,75,73,73,3
Adams State University,2658,1398,519,53,37,19691,30323,Colorado,"Public, 4-year or above",Public,No,0,Town: Remote,Master's Colleges and Universities (medium programs),3211,2185,1026,2284,927,1873,411,92,88,51,51,5,43,68,66,65,2
University of Colorado Denver,3075,2333,991,76,42,24555,38679,Colorado,"Public, 4-year or above",Public,No,0,City: Large,Research Universities (high research activity),22206,11800,10406,13010,9196,7782,5228,71,59,37,37,2,23,50,40,39,1
University of Colorado Colorado Springs,7034,6401,1616,91,25,20424,31837,Colorado,"Public, 4-year or above",Public,No,0,City: Large,Master's Colleges and Universities (larger programs),11321,7450,3871,9220,2101,6962,2258,76,55,29,29,6,16,37,50,49,4
University of Colorado Boulder,22473,19710,5846,88,30,28887,50655,Colorado,"Public, 4-year or above",Public,No,0,City: Small,Research Universities (very high research activity),32017,26242,5775,26096,5921,23948,2148,59,40,17,17,3,8,39,38,36,5
Colorado Christian University,1186,1158,447,98,39,38130,38130,Colorado,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Midsize,Master's Colleges and Universities (medium programs),5368,1583,3785,4973,395,1472,3501,98,97,31,30,19,16,95,58,58,8
Colorado College,5780,1288,522,22,41,57400,57400,Colorado,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Large,Baccalaureate Colleges--Arts & Sciences,2061,2044,17,2041,20,2025,16,53,44,10,10,4,4,44,37,36,1
Colorado School of Mines,11682,4373,949,37,22,30603,46533,Colorado,"Public, 4-year or above",Public,No,0,Suburb: Large,Research Universities (high research activity),5790,5188,602,4291,1499,4080,211,87,72,16,16,1,15,72,50,49,7
Colorado State University-Fort Collins,17970,13914,4443,77,32,23203,39056,Colorado,"Public, 4-year or above",Public,No,0,City: Midsize,Research Universities (very high research activity),31186,23371,7815,23548,7638,20400,3148,73,46,24,24,10,20,45,46,45,4
University of Denver,13735,10539,1413,77,13,56077,56077,Colorado,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Large,Research Universities (high research activity),11778,8411,3367,5517,6261,5129,388,85,83,17,17,2,5,83,41,40,5
Fort Lewis College,2560,2240,876,88,39,22393,33233,Colorado,"Public, 4-year or above",Public,No,0,Town: Remote,Baccalaureate Colleges--Arts & Sciences,4021,3670,351,3984,37,3670,314,91,81,32,31,2,36,72,51,51,2
Colorado Mesa University,6459,5304,2214,82,42,19729,29752,Colorado,"Public, 4-year or above",Public,No,0,City: Small,Baccalaureate Colleges--Arts & Sciences,9676,7284,2392,9576,100,7267,2309,90,71,43,43,1,36,27,65,65,4
Naropa University,79,63,38,80,60,43620,43620,Colorado,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Small,Master's Colleges and Universities (larger programs),992,799,193,383,609,358,25,63,63,42,42,21,8,54,46,46,0
University of Northern Colorado,7602,5289,1939,70,37,20264,31803,Colorado,"Public, 4-year or above",Public,No,0,City: Small,Doctoral/Research Universities,12710,9735,2975,9947,2763,8733,1214,90,80,36,36,3,23,76,60,59,5
Regis University,3006,2100,531,70,25,46326,46326,Colorado,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Large,Master's Colleges and Universities (larger programs),9722,5251,4471,5172,4550,2508,2664,98,98,28,28,9,25,98,54,53,3
Colorado State University-Pueblo,3147,2969,916,94,31,20938,31260,Colorado,"Public, 4-year or above",Public,No,0,City: Midsize,Master's Colleges and Universities (smaller programs),7089,4051,3038,5207,1882,3742,1465,94,73,50,50,26,43,41,80,80,3
Western State Colorado University,1514,1411,473,93,34,20045,29986,Colorado,"Public, 4-year or above",Public,No,0,Town: Remote,Baccalaureate Colleges--Arts & Sciences,2404,1993,411,2193,211,1869,324,91,85,31,31,12,24,66,33,33,5
Albertus Magnus College,689,470,132,68,28,47302,47302,Connecticut,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Midsize,Master's Colleges and Universities (larger programs),1582,1469,113,1278,304,1199,79,83,83,43,43,27,54,83,78,78,19
University of Bridgeport,5248,3351,542,64,16,50043,50043,Connecticut,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Midsize,Master's Colleges and Universities (larger programs),4842,3159,1683,2835,2007,2035,800,93,93,60,60,32,33,93,81,81,7
Central Connecticut State University,5551,3560,1293,64,36,23197,34702,Connecticut,"Public, 4-year or above",Public,No,0,Suburb: Large,Master's Colleges and Universities (larger programs),11865,8208,3657,9771,2094,7624,2147,84,69,34,34,21,37,60,67,66,6
Connecticut College,4837,1734,503,36,29,60780,60780,Connecticut,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Small,Baccalaureate Colleges--Arts & Sciences,1922,1881,41,1915,7,1877,38,53,44,12,12,12,10,44,37,36,3
University of Connecticut,27479,14745,3755,54,25,27244,46192,Connecticut,"Public, 4-year or above",Public,No,0,Suburb: Large,Research Universities (very high research activity),25911,22482,3429,18032,7879,17219,813,77,63,18,18,2,17,62,49,48,5
Eastern Connecticut State University,5112,3299,985,65,30,24394,35899,Connecticut,"Public, 4-year or above",Public,No,0,Town: Fringe,Master's Colleges and Universities (smaller programs),5368,4462,906,5179,189,4395,784,82,57,26,26,10,31,48,72,72,10
Fairfield University,9254,6585,990,71,15,58730,58730,Connecticut,"Private not-for-profit, 4-year or above",Private NFP,No,0,Suburb: Large,Master's Colleges and Universities (larger programs),4919,3930,989,3873,1046,3546,327,89,85,13,13,5,8,85,56,55,10
University of Hartford,15127,9338,1267,62,14,48170,48170,Connecticut,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Midsize,Master's Colleges and Universities (larger programs),6820,5213,1607,5187,1633,4495,692,98,98,32,32,13,9,98,75,74,18
Mitchell College,1162,670,178,58,27,46750,46750,Connecticut,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Small,Baccalaureate Colleges--Diverse Fields,866,747,119,866,0,747,119,100,97,35,35,19,20,97,90,89,13
University of New Haven,10169,7567,1174,74,16,50210,50210,Connecticut,"Private not-for-profit, 4-year or above",Private NFP,No,0,Suburb: Large,Master's Colleges and Universities (larger programs),6555,5342,1213,4864,1691,4407,457,95,95,28,28,1,11,95,79,79,26
Quinnipiac University,20699,13914,1803,67,13,55780,55780,Connecticut,"Private not-for-profit, 4-year or above",Private NFP,No,0,Suburb: Large,Master's Colleges and Universities (larger programs),8803,7602,1201,6542,2261,6307,235,89,86,16,15,5,5,86,66,65,15
Sacred Heart University,7781,5932,865,76,15,53569,53569,Connecticut,"Private not-for-profit, 4-year or above",Private NFP,No,0,Suburb: Large,Master's Colleges and Universities (larger programs),6983,4542,2441,4489,2494,3773,716,95,94,17,16,12,16,94,68,67,12
University of Saint Joseph,860,737,153,86,21,49923,49923,Connecticut,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Small,Master's Colleges and Universities (larger programs),2640,1220,1420,1049,1591,794,255,100,99,39,38,38,55,98,90,90,13
Southern Connecticut State University,4870,3673,1380,75,38,22945,34411,Connecticut,"Public, 4-year or above",Public,No,0,City: Midsize,Master's Colleges and Universities (larger programs),10804,7892,2912,8257,2547,7016,1241,81,57,33,33,3,11,24,69,68,5
Trinity College,7652,2432,604,32,25,62310,62310,Connecticut,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Midsize,Baccalaureate Colleges--Arts & Sciences,2390,2188,202,2301,89,2184,117,41,38,10,10,9,6,38,32,27,7
Wesleyan University,10046,2102,752,21,36,62849,62849,Connecticut,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Small,Baccalaureate Colleges--Arts & Sciences,3205,3091,114,2906,299,2899,7,51,45,18,18,15,3,44,35,33,4
Western Connecticut State University,3613,2366,797,65,34,23426,34931,Connecticut,"Public, 4-year or above",Public,No,0,City: Small,Master's Colleges and Universities (medium programs),6025,4465,1560,5492,533,4394,1098,81,58,30,30,2,47,3,77,69,8
Yale University,28977,2043,1356,7,66,61620,61620,Connecticut,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Midsize,Research Universities (very high research activity),12109,11927,182,5430,6679,5424,6,61,51,13,13,7,1,50,6,6,0
Delaware State University,8884,3703,1036,42,28,21581,29937,Delaware,"Public, 4-year or above",Public,Yes,1,City: Small,Master's Colleges and Universities (medium programs),4336,3926,410,3892,444,3579,313,97,90,58,58,4,40,56,81,80,7
University of Delaware,25458,16467,4224,65,26,25612,43432,Delaware,"Public, 4-year or above",Public,No,0,Suburb: Large,Research Universities (very high research activity),22166,19685,2481,18487,3679,16852,1635,82,70,14,14,3,22,51,53,53,8
Wesley College,2933,1833,556,62,30,38230,38230,Delaware,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Small,Baccalaureate Colleges--Diverse Fields,1655,1463,192,1600,55,1416,184,97,96,50,50,30,7,93,78,78,15
American University,17545,7566,1627,43,22,56808,56808,District of Columbia,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Large,Doctoral/Research Universities,12818,10233,2585,7340,5478,6985,355,80,72,19,19,2,6,71,56,56,7
Catholic University of America,6298,3783,837,60,22,56842,56842,District of Columbia,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Large,Research Universities (high research activity),6725,4756,1969,3713,3012,3456,257,95,93,11,11,10,5,93,63,62,11
Gallaudet University,520,341,201,66,59,31988,31988,District of Columbia,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Large,Master's Colleges and Universities (smaller programs),1561,1367,194,1077,484,1006,71,88,87,48,48,31,63,75,40,40,1
George Washington University,21756,7197,2387,33,33,61446,61446,District of Columbia,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Large,Research Universities (very high research activity),25264,17109,8155,10357,14907,9609,748,68,65,14,12,13,3,65,41,40,2
